timestamp,word_uk,word_en,direction,correct_answer,chosen_answer,is_correct,response_ms
6/19/2026 16:23,диявол,Devil,en_to_uk,диявол,диявол,TRUE,15816.33782
6/19/2026 16:23,ви,you,en_to_uk,ви,ви,TRUE,3643.850088
6/19/2026 16:23,ван,van,en_to_uk,ван,ван,TRUE,14693.27283
6/19/2026 16:23,все,all,en_to_uk,все,все,TRUE,3205.393076
6/19/2026 16:23,я,I,uk_to_en,I,I,TRUE,4226.154804
6/19/2026 16:24,іноді,sometimes,en_to_uk,іноді,іноді,TRUE,27968.31393
6/19/2026 16:24,що,What,uk_to_en,What,what,FALSE,30888.92508
6/19/2026 16:24,ми,we,en_to_uk,ми,ми,TRUE,3101.252079
6/19/2026 16:24,теж,also,uk_to_en,also,also,TRUE,2930.696011
6/19/2026 16:25,аромат,aroma,uk_to_en,aroma,aroma,TRUE,4421.442032
6/19/2026 16:25,не,not,uk_to_en,not,not,TRUE,14632.57194
6/19/2026 16:25,для,for,en_to_uk,для,для,TRUE,3856.492043
6/19/2026 16:25,ви,you,en_to_uk,ви,ви,TRUE,29750.51713
6/19/2026 16:25,надо,necessary,uk_to_en,necessary,necessary,TRUE,6066.763163
6/19/2026 16:26,все,all,uk_to_en,all,all,TRUE,56913.33294
6/19/2026 16:27,ти,you,en_to_uk,ти,ти,TRUE,9135.812998
6/19/2026 16:27,перемогти,to win,en_to_uk,перемогти,перемогти,TRUE,3995.185137
6/19/2026 16:27,я,I,en_to_uk,я,я,TRUE,2233.846903
6/19/2026 16:27,но,but,uk_to_en,but,but,TRUE,6272.612095
6/19/2026 16:27,частина,part,uk_to_en,part,part,TRUE,2475.204945
6/19/2026 16:27,із,from,uk_to_en,from,from,TRUE,39955.82509
6/19/2026 16:28,не,not,en_to_uk,не,не,TRUE,2693.717003
6/19/2026 16:28,дуже,very,en_to_uk,дуже,дуже,TRUE,2554.359913
6/19/2026 16:28,він,he,uk_to_en,he,he,TRUE,3522.488832
6/19/2026 16:28,вийти,go out,en_to_uk,вийти,вийти,TRUE,9847.265959
6/19/2026 16:28,щось,something,en_to_uk,щось,щось,TRUE,19014.431
"2026/06/20 10:42:10","сперма","sperm","uk_to_en","sperm","sperm",TRUE,5536.104917526245
"2026/06/20 10:42:17","будеш","will you be","uk_to_en","will you be","will you be",TRUE,6838.114976882935
"2026/06/20 10:42:20","не","not","uk_to_en","not","not",TRUE,2452.5392055511475
"2026/06/20 10:42:23","тепер","now","en_to_uk","тепер","тепер",TRUE,3499.6111392974854
"2026/06/20 10:42:26","далеко","far","uk_to_en","far","far",TRUE,2889.4050121307373
"2026/06/20 10:42:30","проблема","problem","en_to_uk","проблема","проблема",TRUE,4238.761901855469
"2026/06/20 10:42:33","я","I","en_to_uk","я","я",TRUE,2935.3249073028564
"2026/06/20 10:42:37","у","in","en_to_uk","у","у",TRUE,3613.5458946228027
"2026/06/20 10:43:06","їх","their","uk_to_en","their","their",TRUE,28765.172958374023
"2026/06/20 10:43:10","ні","No","uk_to_en","No","No",TRUE,3642.108917236328
"2026/06/20 10:43:14","від","from","en_to_uk","від","від",TRUE,4028.2981395721436
"2026/06/20 10:43:17","чи","or","en_to_uk","чи","чи",TRUE,3135.8399391174316
"2026/06/20 10:43:20","не","not","uk_to_en","not","not",TRUE,2968.1670665740967
"2026/06/20 10:43:23","все","all","uk_to_en","all","all",TRUE,3191.8938159942627
"2026/06/20 10:43:29","сто","hundred","uk_to_en","hundred","hundred",TRUE,4090.087890625
"2026/06/20 10:43:32","можеш","you can","uk_to_en","you can","you can",TRUE,2965.6190872192383
"2026/06/20 10:43:34","я","I","uk_to_en","I","in",FALSE,2417.823076248169
"2026/06/20 10:43:38","будеш","will you be","en_to_uk","будеш","будеш",TRUE,3179.687023162842
"2026/06/20 10:42:10","сперма","sperm","uk_to_en","sperm","sperm",TRUE,5536.104917526245
"2026/06/20 10:42:17","будеш","will you be","uk_to_en","will you be","will you be",TRUE,6838.114976882935
"2026/06/20 10:42:20","не","not","uk_to_en","not","not",TRUE,2452.5392055511475
"2026/06/20 10:42:23","тепер","now","en_to_uk","тепер","тепер",TRUE,3499.6111392974854
"2026/06/20 10:42:26","далеко","far","uk_to_en","far","far",TRUE,2889.4050121307373
"2026/06/20 10:42:30","проблема","problem","en_to_uk","проблема","проблема",TRUE,4238.761901855469
"2026/06/20 10:42:33","я","I","en_to_uk","я","я",TRUE,2935.3249073028564
"2026/06/20 10:42:37","у","in","en_to_uk","у","у",TRUE,3613.5458946228027
"2026/06/20 10:43:06","їх","their","uk_to_en","their","their",TRUE,28765.172958374023
"2026/06/20 10:43:10","ні","No","uk_to_en","No","No",TRUE,3642.108917236328
"2026/06/20 10:43:14","від","from","en_to_uk","від","від",TRUE,4028.2981395721436
"2026/06/20 10:43:17","чи","or","en_to_uk","чи","чи",TRUE,3135.8399391174316
"2026/06/20 10:43:20","не","not","uk_to_en","not","not",TRUE,2968.1670665740967
"2026/06/20 10:43:23","все","all","uk_to_en","all","all",TRUE,3191.8938159942627
"2026/06/20 10:43:29","сто","hundred","uk_to_en","hundred","hundred",TRUE,4090.087890625
"2026/06/20 10:43:32","можеш","you can","uk_to_en","you can","you can",TRUE,2965.6190872192383
"2026/06/20 10:43:34","я","I","uk_to_en","I","in",FALSE,2417.823076248169
"2026/06/20 10:43:38","будеш","will you be","en_to_uk","будеш","будеш",TRUE,3179.687023162842
"2026/06/20 10:46:12","я","I","uk_to_en","I","I",TRUE,4656.2299728393555
"2026/06/20 10:46:16","ще","yet","en_to_uk","ще","ще",TRUE,3365.8969402313232
"2026/06/20 10:46:20","того","that","uk_to_en","that","it",FALSE,4031.4178466796875
"2026/06/20 10:46:24","але","but","en_to_uk","але","але",TRUE,3480.7350635528564
"2026/06/20 10:46:34","й","and","en_to_uk","й","й",TRUE,3638.6280059814453
"2026/06/20 10:46:37","агент","agent","en_to_uk","агент","агент",TRUE,2652.045965194702
"2026/06/20 10:46:40","це","it","en_to_uk","це","це",TRUE,3229.2630672454834
"2026/06/20 10:46:42","про","about","en_to_uk","про","про",TRUE,1835.1869583129883
"2026/06/20 10:46:45","не","not","uk_to_en","not","not",TRUE,2456.6681385040283
"2026/06/20 10:46:50","всіх","all","en_to_uk","всіх","всіх",TRUE,5384.706974029541
"2026/06/20 10:47:00","будете","will be","en_to_uk","будете","будете",TRUE,9685.806035995483
"2026/06/20 10:47:05","та","and","en_to_uk","та","та",TRUE,4380.486011505127
"2026/06/20 10:47:11","його","its","en_to_uk","його","його",TRUE,6235.769033432007
"2026/06/20 10:47:14","у","in","en_to_uk","у","у",TRUE,3387.7651691436768
"2026/06/20 10:47:17","що","What","en_to_uk","що","що",TRUE,2678.075075149536
"2026/06/20 10:47:21","такий","such","en_to_uk","такий","такий",TRUE,3308.5520267486572
"2026/06/20 10:47:27","люкс","suite","uk_to_en","suite","onion",FALSE,6619.975805282593
"2026/06/20 10:47:32","і","and","uk_to_en","and","and",TRUE,4921.411037445068
"2026/06/20 10:47:35","тебе","you","uk_to_en","you","you",TRUE,2547.075033187866
"2026/06/20 10:47:37","все","all","uk_to_en","all","all",TRUE,2168.51806640625
"2026/06/20 10:47:40","якщо","if","uk_to_en","if","if",TRUE,2343.048095703125
"2026/06/20 10:47:44","за","by","en_to_uk","за","за",TRUE,3942.340850830078
"2026/06/20 10:47:46","так","Yes","uk_to_en","Yes","Yes",TRUE,2344.357967376709
"2026/06/20 10:47:49","йому","him","uk_to_en","him","him",TRUE,2366.1320209503174
"2026/06/20 10:48:09","бо","for","uk_to_en","for","for",TRUE,10841.851949691772
"2026/06/20 10:48:12","себе","himself","en_to_uk","себе","себе",TRUE,3037.5380516052246
"2026/06/20 10:48:16","може","maybe","en_to_uk","може","може",TRUE,3954.3349742889404
"2026/06/20 10:48:21","буде","will be","en_to_uk","буде","буде",TRUE,4626.332998275757
"2026/06/20 10:48:24","на","on","uk_to_en","on","on",TRUE,3534.6620082855225
"2026/06/20 10:48:28","вже","already","uk_to_en","already","already",TRUE,3538.074016571045
"2026/06/20 10:48:31","немає","no","uk_to_en","no","no",TRUE,2836.5960121154785
"2026/06/20 10:48:33","вам","you","uk_to_en","you","you",TRUE,2373.9748001098633
"2026/06/20 10:48:36","я","I","en_to_uk","я","я",TRUE,2780.35306930542
"2026/06/20 10:48:43","он","there","uk_to_en","there","there",TRUE,7523.254871368408
"2026/06/20 10:48:49","редактура","editorial staff","en_to_uk","редактура","редактура",TRUE,5550.067901611328
"2026/06/20 10:48:52","не","not","uk_to_en","not","not",TRUE,3256.181001663208
"2026/06/20 10:48:55","гонг","gong","uk_to_en","gong","gong",TRUE,2834.062099456787
"2026/06/20 10:48:57","так","Yes","en_to_uk","так","так",TRUE,2123.0309009552
"2026/06/20 10:49:03","тому","ago","uk_to_en","ago","ago",TRUE,5956.553936004639
"2026/06/20 10:49:13","розгадати","to solve","en_to_uk","розгадати","гадати",FALSE,9200.337886810303
"2026/06/20 10:49:18","ему","emu","uk_to_en","emu","emu",TRUE,5209.9409103393555
"2026/06/20 10:49:26","зазвичай","usually","en_to_uk","зазвичай","зазвичай",TRUE,7280.675172805786
"2026/06/20 10:49:28","він","he","uk_to_en","he","he",TRUE,2623.1420040130615
"2026/06/20 10:49:30","я","I","uk_to_en","I","I",TRUE,1745.131015777588
"2026/06/20 10:49:32","у","in","en_to_uk","у","у",TRUE,1844.871997833252
"2026/06/20 10:49:35","мене","me","uk_to_en","me","me",TRUE,2445.9409713745117
"2026/06/20 10:49:38","повернутися","return","en_to_uk","повернутися","повернутися",TRUE,2846.4279174804688
"2026/06/20 10:49:40","ти","you","uk_to_en","you","you",TRUE,2318.819046020508
"2026/06/20 10:52:50","промінь","beam","uk_to_en","beam","fault",FALSE,9539.587020874023
"2026/06/20 10:52:54","вдруге","again","uk_to_en","again","again",TRUE,4417.262077331543
"2026/06/20 10:52:59","тобі","you","uk_to_en","you","you",TRUE,4658.48708152771
"2026/06/20 10:53:06","ее","ee","uk_to_en","ee","ee",TRUE,7097.091913223267
"2026/06/20 10:53:13","робити","do","en_to_uk","робити","зробити",FALSE,6459.834098815918
